,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
0,chokwe,mz,59.64,-151.54,3.0,12.3,86.0,90.0
1,wattegama,lk,-1.77,-55.87,27.85,2.07,72.0,8.0
2,temba,za,36.8,25.82,13.0,7.2,71.0,56.0
3,maxixe,mz,-28.77,114.6,17.0,2.1,82.0,90.0
5,gulu,ug,70.47,-68.59,-29.0,1.0,75.0,20.0
7,burica,pa,35.89,-5.31,15.0,6.7,67.0,75.0
8,nieuw amsterdam,sr,45.62,-61.36,0.0,3.6,92.0,90.0
9,fallon,us,1.49,33.93,14.33,1.47,84.0,0.0
10,laizhou,cn,70.05,24.96,-12.0,2.6,92.0,75.0
11,namatanai,pg,61.47,64.05,-33.88,1.22,47.0,0.0
12,dimbokro,ci,58.84,125.49,-28.93,1.17,28.0,0.0
13,orotukan,ru,44.61,2.03,-4.0,6.2,44.0,0.0
14,meulaboh,id,36.64,33.44,4.88,0.77,95.0,92.0
15,taft,ir,-20.01,57.66,27.0,6.7,78.0,75.0
16,babanusah,sd,-20.01,148.25,24.0,1.5,100.0,76.0
17,mananjary,mg,6.12,81.12,25.35,5.27,100.0,12.0
18,sisimiut,gl,-25.04,33.64,24.73,6.22,98.0,92.0
19,shibetsu,jp,43.87,-116.5,4.0,6.2,59.0,1.0
20,hannibal,us,40.97,117.93,-7.55,1.42,67.0,64.0
21,bolungarvik,is,-16.5,-68.13,7.0,3.1,81.0,75.0
22,sanmenxia,cn,69.35,87.76,-36.43,1.27,0.0,0.0
24,belen,py,10.15,-85.45,32.0,8.7,43.0,0.0
25,touba,ci,41.76,86.15,-9.35,1.07,67.0,0.0
26,winnemucca,us,59.7,30.79,-16.0,6.0,77.0,75.0
27,tsotilion,gr,32.07,116.17,3.88,1.52,85.0,8.0
28,concepcion,py,8.05,-1.73,21.65,1.52,97.0,80.0
29,bangassou,cf,11.03,-63.86,25.0,6.62,97.0,12.0
30,port hedland,au,16.48,81.84,25.73,3.82,100.0,0.0
31,emborion,gr,39.93,64.38,9.0,5.1,87.0,12.0
32,hobyo,so,31.03,61.49,14.0,5.1,67.0,0.0
34,dogondoutchi,ne,19.71,-155.08,23.0,3.1,88.0,90.0
35,pochutla,mx,44.04,-64.71,4.3,7.07,83.0,0.0
36,paracuru,br,56.76,48.47,-18.8,5.77,82.0,80.0
37,dobroye,ua,35.49,-120.67,13.0,3.92,81.0,90.0
38,shchelyayur,ru,35.41,116.58,7.5,1.52,89.0,80.0
39,luderitz,na,7.99,117.06,27.6,7.12,99.0,44.0
40,lapua,fi,-17.53,-65.92,23.0,3.6,40.0,75.0
41,dyersburg,us,37.46,-122.43,12.0,10.3,66.0,75.0
42,garmsar,ir,17.01,54.1,23.0,1.0,73.0,0.0
43,zaozerne,ua,5.66,-67.62,35.0,5.1,36.0,20.0
44,farafangana,mg,62.71,56.19,-29.35,2.12,61.0,0.0
45,kovdor,ru,50.84,37.29,-18.0,4.0,91.0,0.0
46,qinnan,cn,36.21,57.68,3.23,1.22,81.0,36.0
48,comarapa,bo,32.52,34.9,16.0,0.5,67.0,0.0
49,abilene,us,-21.37,55.62,26.0,2.1,78.0,0.0
50,port blair,in,39.7,122.97,-0.5,4.77,98.0,0.0
51,bengkulu,id,69.38,178.42,-4.28,16.52,94.0,88.0
52,nikolskoye,ru,37.72,-25.43,13.0,10.3,71.0,40.0
53,atuona,pf,63.23,52.89,-30.25,3.27,33.0,0.0
54,sari,ir,4.26,117.89,24.0,1.27,100.0,75.0
55,mabaruma,gy,35.81,51.01,12.0,2.1,96.0,40.0
56,hambantota,lk,-17.97,122.23,28.0,4.6,78.0,90.0
57,caravelas,br,40.11,21.53,-1.68,1.22,100.0,92.0
58,isla vista,us,35.54,118.45,4.23,1.22,88.0,68.0
59,trairi,br,65.74,24.56,-11.0,3.1,78.0,0.0
60,naousa,gr,-28.53,28.82,2.83,0.97,80.0,0.0
61,pampierstad,za,32.38,-64.68,21.0,5.7,73.0,40.0
62,dunedin,nz,2.82,-60.67,34.0,4.1,38.0,40.0
63,yuncheng,cn,-33.93,18.42,18.0,5.1,82.0,0.0
65,shakawe,bw,40.83,-115.76,1.0,4.6,69.0,90.0
66,grand gaube,mu,62.55,155.55,-23.65,1.32,65.0,36.0
67,jalu,ly,-23.84,151.26,27.83,2.57,88.0,100.0
68,digby,ca,36.66,137.31,-1.0,1.0,86.0,75.0
69,bundaberg,au,4.65,119.47,27.3,3.72,100.0,76.0
71,bongaree,au,50.68,156.12,-3.5,4.37,100.0,48.0
